gene,h_cent
DHTKD1,0
DHX15,0
DHX29,0
DHX34,0
DHX38,0
DHX40,0
DHX8,0
DICER1,0
DIEXF,0
DIMT1,0
DIO1,0
DIO2,0
DIP2A,0
DIRAS2,0
DKC1 /// MIR664B /// SNORA56,0
DKK1,0
DKK3,0
DLC1,0
DLD,0
DLEU1,0
DLEU2,0
DLG1,0
DLG2,0
DLG4,0
DLGAP1,0
DLGAP5,0
DLL3,0
DLX4,0
DMC1,0
DMTF1,0
DMWD,0
DMXL1,0
DNA2,0
DNAAF1,0
DNAH17,0
DNAH2,0
DNAH7,0
DNAJA4,0
DNAJB1,0
DNAJB2,0
DNAJB4,0
DNAJB6,0
DNAJB9,0
DNAJC1,0
DNAJC10,0
DNAJC13,0
DNAJC16,0
DNAJC2,0
DNAJC22,0
DNAJC24,0
DNAJC3,0
DNAJC9,0
DNASE1,0
DNASE2,0
DNM1,0
DNM2,0
DNM3,0
DNMBP,0
DNMT1,0
DNMT3A,0
DNPEP,0
DOCK1,0
DOCK10,0
DOCK4,0
DOCK5,0
DOCK9,0
DOHH,0
DOK5,0
DPAGT1,0
DPEP1,0
DPF1,0
DPF3,0
DPH1 /// OVCA2,0
DPM1,0
DPP8,0
DPY19L1,0
DPY19L4,0
DPY30 /// MEMO1,0
DPYD,0
DPYSL2,0
DRAM1,0
DRG2,0
DROSHA,0
DSE,0
DSP,0
DST,0
DTL,0
DTNA,0
DTNB,0
DTWD1,0
DTX3,0
DTYMK,0
DUSP11,0
DUSP22,0
DUSP26,0
DUSP6,0
DVL2,0
DVL3,0
DYNC1H1,0
DYNC1I2,0
DYNC2H1,0
DYNC2LI1,0
DYNLL1,0
DYRK1A,0
DYRK1B,0
DYRK2,0
DZANK1,0
DZIP3,0
E2F3,0
E2F5,0
EAPP,0
EBAG9,0
EBI3,0
EBNA1BP2 /// MIR6733,0
EBP,0
ECE1,0
ECH1,0
ECHDC1,0
ECHDC2,0
ECM2,0
ECT2,0
EDC3,0
EDC4,0
EDEM1,0
EDEM2,0
EDN3,0
EDNRA,0
EEA1,0
EED,0
EEF1A1,0
EEF1B2 /// SNORA41,0
EEF1DP5 /// EEF1DP5,0
EEF1G /// MIR3654,0
EFCAB11,0
EFCAB14,0
EFCAB2,0
EFCC1,0
EFEMP2,0
EFHC1,0
EFHD1,0
EFNA1,0
EFNA3,0
EFR3B,0
EGF,0
EGFL6,0
EGFR,0
EGLN1,0
EGLN2 /// RAB4B-EGLN2,0
EGLN3,0
EHBP1,0
EHBP1L1,0
EHD1,0
EHD2,0
EHF,0
EHMT1,0
EIF1,0
EIF2AK2,0
EIF2AK3,0
EIF2B2,0
EIF2B5,0
EIF2S2,0
EIF3A,0
EIF3B,0
EIF3E,0
EIF3J,0
EIF3K,0
EIF3L,0
EIF3M,0
EIF4A1 /// LOC101928634 /// SENP3-EIF4A1 /// SNORA48 /// SNORA67 /// SNORD10,0
EIF4A2 /// MIR1248 /// SNORA4 /// SNORA63 /// SNORA81 /// SNORD2,0
EIF4A3,0
EIF4B,0
EIF4E2,0
EIF4EBP2,0
EIF4G1,0
EIF4G2,0
EIF4G3,0
EIF4H,0
EIF5,0
EIF5B,0
ELAC2,0
ELF4,0
ELF5,0
ELL,0
ELMO1,0
ELMO2,0
ELOVL1 /// MIR6734,0
ELOVL5,0
ELOVL6,0
ELP3,0
ELP4,0
EMC1,0
EMC2,0
EMC3,0
EMC7,0
EMC8,0
EML1,0
EML3,0
EML4,0
EMP3,0
ENC1,0
ENDOD1,0
ENO3,0
ENSA,0
ENTPD1,0
ENTPD1-AS1,0
ENTPD5,0
ENTPD6,0
ENTPD7,0
ENY2,0
EPB41,0
EPB41L1,0
EPB41L2,0
EPB41L3,0
EPB42,0
EPCAM,0
EPHA1,0
EPHA3,0
EPHA4,0
EPHB1,0
EPHB3,0
EPHB4,0
EPHX1,0
EPM2A,0
EPN2 /// EPN2-IT1,0
EPN3,0
EPRS,0
EPS15L1,0
EPS8,0
EPS8L2,0
EPYC,0
ERAL1,0
ERAP1,0
ERAP2,0
ERBB2,0
ERBB3,0
ERC1,0
ERCC1,0
ERCC3,0
ERCC5,0
ERCC6,0
ERCC8,0
EREG,0
ERGIC2,0
ERGIC3,0
ERH,0
ERI2,0
ERICH1,0
ERLIN1,0
ERMAP,0
ERP29,0
ERP44,0
ESD,0
ESF1,0
ESM1,0
ESPL1,0
ESRP1,0
ESRP2 /// MIR6773,0
ESRRG,0
ESYT1,0
ETFB,0
ETHE1,0
ETNK2,0
ETV6,0
