id,timepoint,cell_type
cell_1061,0,regular
cell_1062,1,regular
cell_1063,2,regular
cell_1064,3,regular
cell_1065,4,regular
cell_1066,5,regular
cell_1067,6,regular
cell_1068,7,regular
cell_1069,8,regular
cell_1070,9,regular
cell_1071,0,regular
cell_1072,1,regular
cell_1073,2,regular
cell_1074,3,regular
cell_1075,4,regular
cell_1076,5,regular
cell_1077,6,regular
cell_1078,7,regular
cell_1079,8,regular
cell_1080,9,regular
cell_1081,0,regular
cell_1082,1,regular
cell_1083,2,regular
cell_1084,3,regular
cell_1085,4,regular
cell_1086,5,regular
cell_1087,6,regular
cell_1088,7,regular
cell_1089,8,regular
cell_1090,9,regular
cell_1091,0,regular
cell_1092,1,regular
cell_1093,2,regular
cell_1094,3,regular
cell_1095,4,regular
cell_1096,5,regular
cell_1097,6,regular
cell_1098,7,regular
cell_1099,8,regular
cell_1100,9,regular
cell_1101,0,regular
cell_1102,1,regular
cell_1103,2,regular
cell_1104,3,regular
cell_1105,4,regular
cell_1106,5,regular
cell_1107,6,regular
cell_1108,7,regular
cell_1109,8,regular
cell_1110,9,regular
cell_1111,0,regular
cell_1112,1,regular
cell_1113,2,regular
cell_1114,3,regular
cell_1115,4,regular
cell_1116,5,regular
cell_1117,6,regular
cell_1118,7,regular
cell_1119,8,regular
cell_1120,9,regular
cell_1121,0,regular
cell_1122,1,regular
cell_1123,2,regular
cell_1124,3,regular
cell_1125,4,regular
cell_1126,5,regular
cell_1127,6,regular
cell_1128,7,regular
cell_1129,8,regular
cell_1130,9,regular
cell_1131,0,regular
cell_1132,1,regular
cell_1133,2,regular
cell_1134,3,regular
cell_1135,4,regular
cell_1136,5,regular
cell_1137,6,regular
cell_1138,7,regular
cell_1139,8,regular
cell_1140,9,regular
cell_1141,0,regular
cell_1142,1,regular
cell_1143,2,regular
cell_1144,3,regular
cell_1145,4,regular
cell_1146,5,regular
cell_1147,6,regular
cell_1148,7,regular
cell_1149,8,regular
cell_1150,9,regular
cell_1151,0,regular
cell_1152,1,regular
cell_1153,2,regular
cell_1154,3,regular
cell_1155,4,regular
cell_1156,5,regular
cell_1157,6,regular
cell_1158,7,regular
cell_1159,8,regular
cell_1160,9,regular
cell_1161,0,regular
cell_1162,1,regular
cell_1163,2,regular
cell_1164,3,regular
cell_1165,4,regular
cell_1166,5,regular
cell_1167,6,regular
cell_1168,7,regular
cell_1169,8,regular
cell_1170,9,regular
cell_1171,0,regular
cell_1172,1,regular
cell_1173,2,regular
cell_1174,3,regular
cell_1175,4,regular
cell_1176,5,regular
cell_1177,6,regular
cell_1178,7,regular
cell_1179,8,regular
cell_1180,9,regular
cell_1181,0,regular
cell_1182,1,regular
cell_1183,2,regular
cell_1184,3,regular
cell_1185,4,regular
cell_1186,5,regular
cell_1187,6,regular
cell_1188,7,regular
cell_1189,8,regular
cell_1190,9,regular
cell_1191,0,regular
cell_1192,1,regular
cell_1193,2,regular
cell_1194,3,regular
cell_1195,4,regular
cell_1196,5,regular
cell_1197,6,regular
cell_1198,7,regular
cell_1199,8,regular
cell_1200,9,regular
cell_1201,0,regular
cell_1202,1,regular
cell_1203,2,regular
cell_1204,3,regular
cell_1205,4,regular
cell_1206,5,regular
cell_1207,6,regular
cell_1208,7,regular
cell_1209,8,regular
cell_1210,9,regular
cell_1211,0,regular
cell_1212,1,regular
cell_1213,2,regular
cell_1214,3,regular
cell_1215,4,regular
cell_1216,5,regular
cell_1217,6,regular
cell_1218,7,regular
cell_1219,8,regular
cell_1220,9,regular
cell_1221,0,regular
cell_1222,1,regular
cell_1223,2,regular
cell_1224,3,regular
cell_1225,4,regular
cell_1226,5,regular
cell_1227,6,regular
cell_1228,7,regular
cell_1229,8,regular
cell_1230,9,regular
cell_1231,0,regular
cell_1232,1,regular
cell_1233,2,regular
cell_1234,3,regular
cell_1235,4,regular
cell_1236,5,regular
cell_1237,6,regular
cell_1238,7,regular
cell_1239,8,regular
cell_1240,9,regular
cell_1241,0,regular
cell_1242,1,regular
cell_1243,2,regular
cell_1244,3,regular
cell_1245,4,regular
cell_1246,5,regular
cell_1247,6,regular
cell_1248,7,regular
cell_1249,8,regular
cell_1250,9,regular
cell_1251,0,regular
cell_1252,1,regular
cell_1253,2,regular
cell_1254,3,regular
cell_1255,4,regular
cell_1256,5,regular
cell_1257,6,regular
cell_1258,7,regular
cell_1259,8,regular
cell_1260,9,regular
cell_1261,0,regular
cell_1262,1,regular
cell_1263,2,regular
cell_1264,3,regular
cell_1265,4,regular
cell_1266,5,regular
cell_1267,6,regular
cell_1268,7,regular
cell_1269,8,regular
cell_1270,9,regular
cell_1271,0,regular
cell_1272,1,regular
cell_1273,2,regular
cell_1274,3,regular
cell_1275,4,regular
cell_1276,5,regular
cell_1277,6,regular
cell_1278,7,regular
cell_1279,8,regular
cell_1280,9,regular
cell_1281,0,regular
cell_1282,1,regular
cell_1283,2,regular
cell_1284,3,regular
cell_1285,4,regular
cell_1286,5,regular
cell_1287,6,regular
cell_1288,7,regular
cell_1289,8,regular
cell_1290,9,regular
cell_1291,0,regular
cell_1292,1,regular
cell_1293,2,regular
cell_1294,3,regular
cell_1295,4,regular
cell_1296,5,regular
cell_1297,6,regular
cell_1298,7,regular
cell_1299,8,regular
cell_1300,9,regular
cell_1301,0,regular
cell_1302,1,regular
cell_1303,2,regular
cell_1304,3,regular
cell_1305,4,regular
cell_1306,5,regular
